Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,Tamakichi Troupe,,1893-01-28,21:00,Circus Grounds (River Valley Road),,,,,Circus,Others,Tamakichi Troupe,,,,,,,,
,Masuda Troupe,,1896-01-06,Evening,Tent (River Valley and Tank Road junction),,,,,Circus,Others,Masuda Troupe,,,,,,,,
,Masuda Troupe,,1896-01-07,Evening,Tent (River Valley and Tank Road junction),,,,,Circus,Others,Masuda Troupe,,,,,,,,
,Kikuchi Acrobatic Troupe,,1916-04-14,20:00,,"Beach Road, Singapore",,,,Circus,Others,Kikuchi Acrobatic Troupe,,,,,,,,
,Voice recital by Seijiro Tatsumi,,1927-07-13,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Seijiro Tatsumi,,,,,,,,
,Voice recital by Seijiro Tatsumi,,1928-01-12,Evening,YMCA of Singapore,"1 Orchard Road, Singapore 238824",1.2974501,103.8484139,,Contemporary music,Concert,Seijiro Tatsumi; Suzuko Yamamoto (piano),,,,,,,,
,Vocal concert by Toshiko Sekiya,,1934-04-05,Evening,Victoria Memorial Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Toshiko Sekiya,,,,,,,,
,"""Jikatsu Kyorei No Yube"" (""Self-Sufficiency Night”?",,1945-10-01,20:00,"Great World Amusement Park, Stadium","Kim Seng Road, Singapore",1.2927264,103.8332304,,Contemporary music,Concert,Atira Matsudaira (Possible typo: Akira Matsudaira),,,,,,,,
,Shochiku Revue,,1955-01-28,,Majestic Theatre,"80 Eu Tong Sen Street, Singapore 059810",1.2847314,103.8432034,,Musical,Concert,Shochiku Revue,???????,,,,,,,
,Kinoshita Circus,,1955-12-16,18:30,Great World Amusement Park,"Kim Seng Promenade, Great World Park, Singapore 237994",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,1955-12-16,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,1955-12-17,14:00,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,1955-12-17,18:30,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,1955-12-17,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
,Yada Latin Dance Troupe,???????,1955-12-23,,Odeon-Katong Theatre,"331 North Bridge Road, Singapore 188720",1.2962,103.8532644,,Contemporary dance,Dance,Yada Latin Dance Troupe,?????,,,,,,,
Drums,New Yada Dance Troupe,????????,1956-09-10,,Kuala Lumpur,,,,,Contemporary dance,Dance,New Yada Dance Troupe,????????,,,,,,,
,New Yada Dance Troupe,????????,1956-07-27,,Majestic Theatre (Kuala Lumpur),,,,,Contemporary dance,Dance,New Yada Dance Troupe,????????,,,,,,,
,Kinoshita Circus (Grand Gala Premiere Performance),,1957-01-29,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,1957-01-30,19:00,Great World Amusement Park,"Kim Seng Road, Singapore",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Kinoshita Circus,,1957-01-30,21:30,Great World Amusement Park,"Kim Seng Road, Singapore",,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Charity performance by Kinoshita Circus,,1957-02-07,,,,,,,Circus,Others,Kinoshita Circus,,,,,,,,
,Shochiku Revue,,1958-01-17,21:30,Majestic Theatre,"80 Eu Tong Sen Street, Singapore 059810",,,,Musical,Theatre,Shochiku Revue,?????,,,,,,,
,Dance performance by Hidemi Hanayagi,,1960-12-07,,"Cornwall Gardens, Residence of Japanese Consul-General Kensaku Maeda",,,,,Nihon buyo,Dance,Hidemi Hanayagi,,Japanese Consul-General Kensaku Maeda,,,,,,
,Dance performance by Hidemi Hanayagi,,1960-12-08,,"Cornwall Gardens, Residence of Japanese Consul-General Kensaku Maeda",,,,,Nihon buyo,Dance,Hidemi Hanayagi,,Japanese Consul-General Kensaku Maeda,,,,,,
,Dance performance by Hidemi Hanayagi,,1960-12-12,,Japan Club,"Kheam Hock Road, Singapore",,,,Nihon buyo,Dance,Hidemi Hanayagi,,Japanese Consul-General Kensaku Maeda,,,,,,
,Opera recital by Kiyoko Ohtani,,1962-02-16,Evening,Victoria Memorial Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Kiyoko Ohtani; Lee Kum Sing (piano),,Impresarios Association of the Far East,,,,Impresarios Association of the Far East,,
,Concert by Japan Broadcasting Corporation Symphony Orchestra,,1962-10-05,20:45,Singapore Badminton Stadium,"100 Guillemard Road, Singapore 399718",1.3099084,103.8818419,,Classical music; Contemporary music,Concert,Japan Broadcasting Corporation Symphony Orchestra; Yoshio Unno (violin); Ozawa Seiji (conductor),,Goh Soon Tioe; Impresarios Association of the Far East,,,,,,
,Concert by Japan Broadcasting Corporation Symphony Orchestra,,1962-10-06,18:15,Singapore Badminton Stadium,"100 Guillemard Road, Singapore 399718",1.3099084,103.8818419,,Classical music; Contemporary music,Concert,Japan Broadcasting Corporation Symphony Orchestra; Yoshio Unno (violin); Ozawa Seiji (conductor),,Goh Soon Tioe; Impresarios Association of the Far East,,,,,,
,Xylophone concert by Yoichi Hiraoka,,1963-06-16,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Yoichi Hiraoka,,,,,,,,
,Xylophone concert by Yoichi Hiraoka,,1963-06-17,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Yoichi Hiraoka,,,,,,,,
,Piano recital by Azusa Fujita Teng,,1965-03-08,Evening,Cultural Centre (Fort Canning),"40 Canning Rise, Singapore",1.29521,103.84677,,Contemporary music,Concert,Azusa Fujita Teng,,,,,,Rotary Club of Singapore West,,
,Okamura Takao solo concert,????,1966-07-24,20:45,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Choir,Concert,Okamura Taka,????,Singapore Musical Society,,,,,,
,Night of the Cherry Blossom: Japanese Cultural variety show,,1966-11-27,20:00,National Theatre,,1.292954,103.844164,,Folk dance; Minyo; Nihon Buyo,Others,Japanese cultural performance troupe led by Hanayagi Hiroyuki,????,Embassy of Japan in Singapore; National Theatre Trust; Ministry of Foreign Affairs (MFA),,,,,,
,Night of the Cherry Blossom: Japanese Cultural variety show,,1966-11-28,20:00,National Theatre,,1.292954,103.844164,,Folk dance; Minyo; Nihon Buyo,Others,Japanese cultural performance troupe led by Hanayagi Hiroyuki,,Embassy of Japan in Singapore; National Theatre Trust; Ministry of Foreign Affairs (MFA),,,,,,
