Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
#NAME?,Tamakichi Troupe,,1893-01-28,21:00,Circus Grounds (River Valley Road),,,,,Circus,Others,Tamakichi Troupe,,,,,,,,
#NAME?,Masuda Troupe,,1896-01-06,Evening,Tent (River Valley and Tank Road junction),,,,,Circus,Others,Masuda Troupe,,,,,,,,
#NAME?,Masuda Troupe,,1896-01-07,Evening,Tent (River Valley and Tank Road junction),,,,,Circus,Others,Masuda Troupe,,,,,,,,
#NAME?,Kikuchi Acrobatic Troupe,,1916-04-14,20:00,,,,,,Circus,Others,Kikuchi Acrobatic Troupe,,,,,,,,
#NAME?,Voice recital by Seijiro Tatsumi,,1927-07-13,Evening,Victoria Theatre & Concert Hall,,1.288367,103.851667,,Contemporary music,Concert,Seijiro Tatsumi,,,,,,,,
#NAME?,Voice recital by Seijiro Tatsumi,,1928-01-12,Evening,YMCA of Singapore,,1.2974501,103.8484139,,Contemporary music,Concert,Seijiro Tatsumi; Suzuko Yamamoto (piano),,,,,,,,
#NAME?,Vocal concert by Toshiko Sekiya,,1934-04-05,Evening,Victoria Memorial Hall,,1.288367,103.851667,,Contemporary music,Concert,Toshiko Sekiya,,,,,,,,
#NAME?,"""Jikatsu Kyorei No Yube"" (""Self-Sufficiency Night”?",,1945-10-01,20:00,"Great World Amusement Park, Stadium",,1.2927264,103.8332304,,Contemporary music,Concert,Atira Matsudaira (Possible typo: Akira Matsudaira),,,,,,,,
#NAME?,Kinoshita Circus,,1955-12-16,21:30,Great World Amusement Park,,1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
#NAME?,Kinoshita Circus,,1955-12-16,18:30,Great World Amusement Park,,,,,Circus,Others,Kinoshita Circus,,,,,,,,
#NAME?,Kinoshita Circus,,1955-12-17,14:00,Great World Amusement Park,,1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
#NAME?,Kinoshita Circus,,1955-12-17,18:30,Great World Amusement Park,,1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
#NAME?,Kinoshita Circus,,1955-12-17,21:30,Great World Amusement Park,,1.2927264,103.8332304,,Circus,Others,Kinoshita Circus,,,,,,,,
#NAME?,Yada Latin Dance Troupe,???????,1955-12-23,,Odeon-Katong Theatre,,1.2962,103.8532644,,Contemporary dance,Dance,Yada Latin Dance Troupe,?????,,,,,,,
#NAME?,Shochiku Revue,,1955-01-28,,Majestic Theatre,,1.2847314,103.8432034,,Musical,Concert,Shochiku Revue,???????,,,,,,,
#NAME?,New Yada Dance Troupe,????????,1956-07-27,,Majestic Theatre (Kuala Lumpur),,,,,Contemporary dance,Dance,New Yada Dance Troupe,????????,,,,,,,
#NAME?,New Yada Dance Troupe,????????,1956-09-10,,Kuala Lumpur,,,,,Contemporary dance,Dance,New Yada Dance Troupe,????????,,,,,,,
#NAME?,Charity performance by Kinoshita Circus,,1957-02-07,,,,,,,Circus,Others,Kinoshita Circus,,,,,,,,
