Organiser/Sponsor,Org/Spon Type 1,Org/Spon Type 2
"21st Century Museum of Contemporary Art, Kanazawa",Japan–Government,
3Top,Singapore–Government,
ABC Travel Agency,Unclear,
Act 3 International,Singapore–Private,
"Agency for Cultural Affairs, Government of Japan",Japan–Government,
Agility Fairs & Events Logistics,Singapore–Private,
Akifusaryuu Nihon Buyo School 秋房流,Japan–Private,
All Nippon Airways (ANA),Japan–Private,
Ambassade de France à Singapour,Others,
An Creative,Unclear,
ANA Hotel,Japan–Private,
Arts Council of New Zealand Toi Aotearoa,Others,
Arts Fission,Singapore–Private,
Arts House Limited (AHL),Singapore–Government,
Arts South Australia,Others,
Asahi Beer Arts Foundation,Japan–Private,
Asian Civilisations Museum (ACM),Singapore–Government,
Asian Composers League (ACL),Others,
Association for Exchange and Promotion of Japanese Culture,Japan–Government,
Association of Traditional Performing Arts (Japan),Unclear,
Australian Government Department of Foreign Affairs and Trade,Others,
AXA Art Insurance,Others,
b.,Unclear,
Bandwagon,Others,
Bank of Tokyo-Mitsubishi UFG,Japan–Private,
Barclays,Others,
Barossa,Singapore–Private,
Bienestar,Unclear,
Bon Goût Music,Singapore–Private,
Books Kinokuniya,Japan–Private,
Braun Büffel,Others,
Burger King,Others,
Café 21,Singapore–Private,
Canada Council for the Arts,Others,
Canon,Japan–Private,
Capitol Optical,Singapore–Private,
Cappa Roma,Unclear,
"Capri by Fraser, Changi City",Singapore–Private,
Casio,Japan–Private,
Cathay Pacific Airways,Others,
Celestial Navigations Pte Ltd.,Singapore–Private,
Centre 42,Singapore–Government,
"Centre for Language Studies, National University of Singapore (NUS)",Singapore–Government,
"Centre for TransCultural Studies, Temasek Polytechnic",Singapore–Government,
Chakuso-do Koten Miyajima-ryu Ichimon Shimonoseki Musubi no Kai,Japan–Private,
Channel NewsAsia Mediacorp Pte Ltd.,Singapore–Government,
Chinese Opera Institute (COI),Singapore–Government,
Chinese Opera Society (Singapore),Singapore–Private,
CONDORS Dance Company,Japan–Private,
Conrad Centennial Singapore,Singapore–Private,
Conseil des arts et des lettres du Québec (CALQ),Others,
CPR – Center for Performance Research (New York),Others,
CRISTOFORI Music,Singapore–Private,
Cultural Matching Fund (CMF),Singapore–Government,
"Department of Japanese Studies, National University of Singapore (NUS)",Singapore–Government,
deSingel (Antwerp),Others,
dp,Unclear,
Dr Catelijne Coopmans (Tembusu College) ,Unclear,
Dumb Type,Japan–Private,
E139 Creative Production Pte. Ltd.,Singapore–Private,
EAT Works,Singapore–Private,
Ebenex,Singapore–Private,
Eclectic Audio,Unclear,
Embajada de México en Singapur,Others,
Embassy of Japan in Singapore,Japan–Government,
Embassy of Switzerland in Singapore,Others,
EMS Entertainment,Others,
Esplanade – Theatres on the Bay,Singapore–Government,
Establish Events,Unclear,
"Faculty of Arts and Social Sciences, National University of Singapore (NUS)",Singapore–Government,
Festival Of Asian Performing Arts,Unclear,
fFurious,Singapore–Private,
Fiction Shore,Singapore–Private,
First Printers Pte Ltd,Singapore–Private,
Fred Perry,Others,
